Total sum of movements to win:5930, needed time to win:1.22
freecell D4
newstack C8
newstack D9
stack C8 D9
newstack S10
newstack D11
stack S10 D11
newstack C8
stack D9 S10
newstack C8
newstack C12
stack C8 D9
newstack C12
newstack C13
source S1
source S2
newstack C13
newstack C12
newstack C8
newstack C13
newstack C12
newstack C8
newstack D3
newstack C7
stack D8 C9
stack C7 D8
newstack C13
newstack C8
stack C8 S9
newstack D9
stack C8 D9
newstack C12
newstack C13
newstack C12
newstack D9
stack C8 D9
newstack C13
newstack D9
newstack D3
stack C8 D9
newstack C8
newstack D2
stack C8 D9
source S3
stack D3 C4
stack C8 S9
source S4
source S5
freecell C12
newstack C13
newstack D9
stack C8 D9
stack D4 C5
freecell C13
newstack C8
stack D9 S10
newstack C8
newstack D9
stack C8 D9
newstack S10
stack C8 S9
stack D9 S10
newstack D11
newstack D9
stack S10 D11
stack D9 S10
newstack D2
newstack D9
newstack S10
stack D9 S10
newstack D11
newstack D2
newstack D9
stack S10 D11
newstack D2
newstack D9
newstack D2
newstack D9
newstack S10
stack D9 S10
newstack D2
newstack D11
newstack D9
stack S10 D11
newstack D2
newstack S10
stack C8 D9
stack D9 S10
newstack D2
newstack D9
newstack S10
newstack D4
stack C8 D9
stack C8 D9
newstack D2
newstack C8
stack D9 S10
newstack C8
newstack D4
stack C8 D9
newstack D2
newstack C8
newstack D4
newstack D2
newstack C8
newstack D4
newstack C8
newstack C5
stack D4 C5
newstack C8
source S6
stack C8 S9
newstack D9
source S7
source S8
stack D9 S10
newstack D4
newstack D9
stack C8 D9
stack D4 C5
newstack S10
stack C8 S9
stack D9 S10
newstack D11
newstack D9
stack S10 D11
newstack D9
newstack D4
stack D9 S10
newstack D4
newstack C5
stack D4 C5
newstack D2
newstack D4
newstack C5
newstack D2
newstack D4
newstack D2
newstack D4
newstack C5
stack D4 C5
newstack D2
newstack D4
newstack C5
newstack D2
stack D4 C5
newstack D9
newstack D2
newstack D4
stack C8 D9
source S9
stack D4 C5
newstack D2
newstack D4
source S10
stack C10 D11
stack D4 C5
newstack D2
newstack D4
source S11
source S12
stack D4 C5
newstack D2
newstack D4
source S13
source D1
source D2
newstack D4
newstack C5
stack D4 C5
newstack C8
newstack D4
newstack C8
newstack C5
stack D4 C5
newstack D9
newstack D4
newstack C5
newstack D9
newstack C5
newstack D9
newstack D4
newstack C5
newstack D4
newstack D9
newstack D4
newstack D9
stack D4 C5
stack D9 C10
newstack C8
newstack D4
newstack C8
newstack D4
newstack C8
newstack D4
stack C8 D9
newstack D4
newstack C5
newstack C8
newstack C5
newstack C8
newstack C5
newstack C8
newstack D9
newstack C5
newstack D9
newstack C8
newstack D9
newstack C8
newstack C10
stack C8 D9
newstack C10
newstack C5
newstack C10
newstack C5
newstack C8
stack D9 C10
newstack C8
newstack C5
newstack C8
newstack C5
stack C8 D9
newstack D11
newstack C5
newstack D11
newstack C5
newstack D11
newstack C5
newstack C8
newstack D11
newstack C8
newstack D11
newstack C8
newstack D9
stack C8 D9
newstack D11
newstack C10
newstack C8
stack C10 D11
newstack D9
newstack C10
stack D9 C10
newstack D11
newstack D9
stack C10 D11
stack D9 C10
stack C8 D9
newstack C5
newstack C8
newstack D9
newstack C10
stack C8 D9
newstack D11
newstack C5
newstack D11
newstack C5
newstack C8
stack D9 C10
newstack C8
newstack D11
newstack C5
newstack D11
newstack C5
newstack C8
newstack C5
newstack C8
newstack D9
stack C8 D9
newstack D11
newstack C8
stack D9 C10
newstack D11
stack C8 D9
newstack C5
